target,n_train,n_test,n_cliff_train,n_cliff_test,A_descriptor,A_model,A_test_rmse,A_test_cliff_rmse,B_descriptor,B_model,B_cv_cliff_rmse,B_test_rmse,B_test_cliff_rmse,same_combination,optimism_cliff_rmse,skipped_descriptors,n_combinations,A_delta,B_delta
CHEMBL4040,206,53,31,7,WHIM,KNN,1.083262595649854,0.7614679089798583,ECFP,SVM,0.6561516756539105,0.8212016131577705,1.0239857025756192,False,0.2625177935957609,,,-29.70606462018101,24.693581474844162
CHEMBL4072,435,112,111,28,PHYSCHEM,SVM,1.0442808102053416,0.9267785655572836,ECFP,RF,0.8815181867963852,0.8669100004793018,0.9637036279926904,False,0.0369250624354067,,,-11.251977772621624,11.165360586436059
CHEMBL4282,176,46,40,11,PHYSCHEM,GBM,0.6544059685355056,0.6820806999016933,ECFP,SVM,0.9817609251850384,0.6553804985379337,0.7400291276891987,False,0.0579484277875054,,,4.228985170798633,12.915951777647459
CHEMBL4482,303,78,47,12,MACCS,SVM,0.7234965519689435,0.684530018413635,ECFP,SVM,0.6349966407009849,0.6405445225993293,0.7397322410965276,False,0.0552022226828925,,,-5.385863063101522,15.484906200539289
CHEMBL4501,300,77,38,10,ECFP,SVM,0.7439781048954194,0.6295481478266112,WHIM,KNN,0.7142862589645084,0.8276652396080802,0.7407321517313584,False,0.1111840039047472,,,-15.38082321453446,-10.503411731763288
CHEMBL4792,1596,402,922,233,ECFP,SVM,0.5853830444623175,0.6043064239401648,ECFP,SVM,0.6496263157468309,0.5853830444623175,0.6043064239401648,True,0.0,,,3.2326490589129837,3.2326490589129837
CHEMBL4816,101,28,6,2,PHYSCHEM,RF,0.7208377502228559,0.619559884678393,MACCS,GBM,0.25105862619162,0.7808681709061781,0.7695444038083927,False,0.1499845191299997,,,-14.050022423652429,-1.450150937083839
CHEMBL5023,457,118,204,52,ECFP,GBM,0.7870162229438371,0.8579969538251735,MACCS,SVM,0.7733567569535094,0.8547478678689815,0.9722540152569163,False,0.1142570614317428,,,9.018966675913324,13.747463059591578
CHEMBL214,3294,825,1309,327,ECFP,SVM,0.6663103446603632,0.7241756707608704,ECFP,SVM,0.7052302320199436,0.6663103446603632,0.7241756707608704,True,0.0,,,8.684440601023951,8.684440601023951
CHEMBL233,3579,897,1563,391,ECFP,RF,0.689597457521723,0.7143285505412168,ECFP,SVM,0.7537655725667098,0.6855590841467869,0.7321773344918304,False,0.0178487839506136,WHIM,12.0,3.5863086137777387,6.800033931876535
