target,descriptor,model,cv_rmse,cv_cliff_rmse,test_rmse,test_cliff_rmse,cv_stratified
CHEMBL1907601,ECFP,KNN,0.6288628475922844,0.7690126620842206,0.7694664393414471,0.796055348474792,True
CHEMBL1907601,MACCS,RF,0.6828485874631497,0.7298408198190331,0.709397794269061,0.8712615658814306,True
CHEMBL1907601,MACCS,SVM,0.7091886884838812,0.7514349469912197,0.7431026009846587,0.947321834234818,True
CHEMBL1907601,MACCS,GBM,0.7247138384558632,0.7883879118956436,0.7732795618204061,1.0428459213248693,True
CHEMBL1907601,MACCS,KNN,0.7371452560146352,0.8101789969245689,0.815104729079547,0.947729184777307,True
CHEMBL1907601,PHYSCHEM,RF,0.7766536260043678,0.7967675666314885,0.6210225097612134,0.7736163588219728,True
CHEMBL1907601,PHYSCHEM,SVM,1.0277347608704277,1.0201210563528769,0.8577655924836811,0.8594171683294735,True
CHEMBL1907601,PHYSCHEM,GBM,0.7831699818755031,0.8059847792051563,0.6822710994392118,0.8533846154909505,True
CHEMBL1907601,PHYSCHEM,KNN,0.7849631688273551,0.7545211398295862,0.7066081265203847,0.8127578712155918,True
CHEMBL1907601,WHIM,RF,0.8466965427301021,0.8372800473508246,0.760950384322974,0.7904997694552675,True
CHEMBL1907601,WHIM,SVM,0.8882573979097564,0.8461895109681903,0.8043596557173135,0.7993402765224451,True
CHEMBL1907601,WHIM,GBM,0.8282182101191354,0.8113191806102237,0.7615054756984108,0.7838272790514876,True
CHEMBL1907601,WHIM,KNN,0.8625170897500328,0.8148085856888526,0.7480038142472399,0.7361916944834908,True
CHEMBL1936,ECFP,RF,0.50328403922223,0.641370627388118,0.5357628099970515,0.6644051917849698,True
CHEMBL1936,ECFP,SVM,0.5003456985046171,0.6596434054625413,0.5370209459286064,0.6908551803334718,True
CHEMBL1936,ECFP,GBM,0.5116376643841715,0.6603263214103737,0.5542158401514619,0.7107992982199329,True
