BindingDB_ID,smiles,value,standard_type
50467981,NS(=O)(=O)c1ccc(NC(=O)c2ccc(cc2)\N=C2/C(=O)Nc3ccc(Cl)cc23)cc1,194.0,Ki (nM)
50834470,Cc1cc(=O)oc2cc(ccc12)C(F)(F)S(N)(=O)=O,195.0,Ki (nM)
51449621,NS(=O)(=O)c1ccc2N(Cc3c(F)c(F)c(F)c(F)c3F)C(=O)C(=O)c2c1,195.0,Ki (nM)
20737,CC(=O)Nc1ccc(cc1Cl)S(N)(=O)=O,196.0,Ki (nM)
50463127,CC1=CC(OCC(=O)c2ccc(Br)cc2)=NS(=O)(=O)O1,196.0,Ki (nM)
51229003,Brc1ccc(OCc2cn(CCCOc3ccc4ccc(=O)oc4c3)nn2)c(C=O)c1,196.0,Ki (nM)
50824679,CC1CCN(CCC(=O)Nc2ccc(cc2)S(N)(=O)=O)CC1,197.0,Ki (nM)
50241162,NS(=O)(=O)c1ccc(cc1)\N=C\c1csc2ccccc12,197.0,Ki (nM)
51144584,Cc1ccc2NC(=O)C(=NNC(=O)c3ccc(cc3)S(N)(=O)=O)c2c1,197.0,Ki (nM)
50824048,NS(=O)(=O)c1ccc(CNc2nc(Oc3ccccc3)nc(Oc3ccccc3)n2)cc1,197.0,Ki (nM)
51204535,Cc1cc(c(SCc2cc3OCOc3cc2Cl)cc1Cl)S(=O)(=O)NC(=N)Nc1cccc(c1)S(N)(=O)=O,197.0,Ki (nM)
50605701,CN1CCN(CCCNC(=O)c2cc(-c3ccc(cc3)-c3ccccc3)n(c2C)-c2ccc(cc2)S(N)(=O)=O)CC1,198.0,Ki (nM)
51099823,CC(=O)N1CCN([C@H](Cc2ccccc2)C1)C(=O)c1ccc(cc1)S(N)(=O)=O,198.0,Ki (nM)
50279610,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc1cccc(Cl)c1,198.0,Ki (nM)
51228948,CCN(CC)c1ccc(\C=N\Cc2ccc(cc2)S(N)(=O)=O)c(OCC#C)c1,198.0,Ki (nM)
51127378,CCOC(=O)c1nnn(c1-c1ccc(C)cc1)-c1ccc(cc1)S(N)(=O)=O,198.0,Ki (nM)
51201033,COC(=O)CNc1nc(F)nc(NCCc2ccc(cc2)S(N)(=O)=O)n1,199.0,Ki (nM)
51520596,NS(=O)(=O)c1ccc(N2CCC3(CC2)CC(=O)c2cc(Br)ccc2O3)c(c1)[N+]([O-])=O,199.0,Ki (nM)
50278069,CC1=CC(OCC=C)=NS(=O)(=O)O1,199.0,Ki (nM)
50350124,CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)Nc1ccccn1,199.0,Ki (nM)
51459266,COc1ccccc1[SeH],200.0,Ki (nM)
51208169,CNC(=O)CN1C(=O)c2ccccc2S1(=O)=O,200.0,Ki (nM)
432977,Cc1cc(=O)oc2cc3ccccc3cc12,200.0,Ki (nM)
51459270,Cc1ccccc1[SeH],200.0,Ki (nM)
51365734,FC(F)(F)Oc1ccc(cc1)-c1cnc2OS(=O)(=O)C=Cc2c1,200.0,Ki (nM)
50605754,Cc1c(cc(-c2ccccc2)n1-c1ccc(cc1)S(N)(=O)=O)C(=O)NCCN1CCOCC1,200.0,Ki (nM)
