smiles,standard_type,value,units,bindingdb_id,data_validity_comment,activity_comment,warning_flag,CuratedSmiles,IsSalt,FailedSanit,Neutralized
CCCOc1ccc(C[C@H](NC(=O)c2cn(Cc3ccc(cc3)-c3ccccc3)c3ccccc23)C(=O)NS(=O)(=O)c2ccc(Cl)c(c2)[N+]([O-])=O)cc1,Ki, 5600,nM,50681356,,,False,CCCOc1ccc(C[C@H](NC(=O)c2cn(Cc3ccc(-c4ccccc4)cc3)c3ccccc23)C(=O)NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1,False,False,False
OC(=O)c1cc(SCCc2ccccc2)ccc1NS(=O)(=O)c1ccc2ccccc2c1,Ki, 5600,nM,51249698,,,False,O=C(O)c1cc(SCCc2ccccc2)ccc1NS(=O)(=O)c1ccc2ccccc2c1,False,False,False
Oc1ccc(Oc2ccccc2-c2ccsc2S(=O)(=O)NCCNC(=S)Nc2cc(cc(c2)C(F)(F)F)C(F)(F)F)cc1O,Ki, 5600,nM,51439165,,,False,O=S(=O)(NCCNC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1sccc1-c1ccccc1Oc1ccc(O)c(O)c1,False,False,False
OC(=O)c1c(CCCOc2cccc3ccccc23)c2cccc3OCCn1c23,Ki, 5700,nM,50337256,,,False,O=C(O)c1c(CCCOc2cccc3ccccc23)c2cccc3c2n1CCO3,False,False,False
Cc1cc(OCCCn2nc(C(O)=O)c3cc(Cl)ccc23)cc(C)c1Cl,Ki, 5792,nM,1319428,,,False,Cc1cc(OCCCn2nc(C(=O)O)c3cc(Cl)ccc32)cc(C)c1Cl,False,False,False
CN(C)CCCC(O)(c1ccccc1)c1ccc(OCc2cccc(c2)-c2ccc(cc2)C(O)=O)cc1,Ki, 5800,nM,50605245,,,False,CN(C)CCCC(O)(c1ccccc1)c1ccc(OCc2cccc(-c3ccc(C(=O)O)cc3)c2)cc1,False,False,False
OC(=O)c1sc2ccccc2c1CCCOc1cccc2ccccc12,Ki, 5800,nM,981248,,,False,O=C(O)c1sc2ccccc2c1CCCOc1cccc2ccccc12,False,False,False
Cc1nn(C)c(C)c1-c1cccc2c(CCCOc3cc(C)c(Cl)c(C)c3)c([nH]c12)C(=O)NCc1c[nH]c(c1)C(O)=O,Ki, 5950,nM,868501,,,False,Cc1cc(OCCCc2c(C(=O)NCc3c[nH]c(C(=O)O)c3)[nH]c3c(-c4c(C)nn(C)c4C)cccc23)cc(C)c1Cl,False,False,False
Cc1nn(C)c(C)c1-c1cccc2c(CCCOc3cc(C)c(Cl)c(C)c3)c([nH]c12)C(=O)NCc1c[nH]c(c1)C(O)=O,Ki, 5950,nM,1126587,,,False,Cc1cc(OCCCc2c(C(=O)NCc3c[nH]c(C(=O)O)c3)[nH]c3c(-c4c(C)nn(C)c4C)cccc23)cc(C)c1Cl,False,False,False
Cc1cccc(Oc2ccc3c4c(C#N)c(=O)nc4c4cccc2c34)c1,Ki, 6031,nM,50657375,,,False,Cc1cccc(Oc2ccc3c4c(cccc24)C2=NC(=O)C(C#N)=C23)c1,False,False,False
CCOc1ccc(cc1)-c1cc(nn1-c1ccccc1)C(O)=O,Ki, 6090,nM,51218910,,,False,CCOc1ccc(-c2cc(C(=O)O)nn2-c2ccccc2)cc1,False,False,False
CCc1sc2ncnc(N[C@H](C)C(O)=O)c2c1-c1cccc(Oc2ccc(F)cc2)c1,Ki, 6100,nM,51270986,,,False,CCc1sc2ncnc(N[C@H](C)C(=O)O)c2c1-c1cccc(Oc2ccc(F)cc2)c1,False,False,False
OC(=O)CSc1cc(NS(=O)(=O)c2ccc(cc2)-c2ccc(Cl)cc2)c2ccccc2c1O,Ki, 6110,nM,50095218,,,False,O=C(O)CSc1cc(NS(=O)(=O)c2ccc(-c3ccc(Cl)cc3)cc2)c2ccccc2c1O,False,False,False
Cc1cc(OCCCc2c(C(O)=O)n3CCSc4cccc2c34)ccc1Cl,Ki, 6300,nM,50337383,,,False,Cc1cc(OCCCc2c(C(=O)O)n3c4c(cccc24)SCC3)ccc1Cl,False,False,False
