BindingDB_ID,smiles,value,standard_type,CuratedSmiles,IsSalt,FailedSanit,Neutralized
51591014,NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2ccc3ccccc3c2)cc1,4.4,Ki (nM),NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2ccc3ccccc3c2)cc1,False,False,False
50252135,OC(=O)c1ccc(cc1)N1C(=O)c2c(C1=O)c(Cl)c(Cl)c(Cl)c2Cl,4.4,Ki (nM),O=C(O)c1ccc(N2C(=O)c3c(Cl)c(Cl)c(Cl)c(Cl)c3C2=O)cc1,False,False,False
50252084,NS(=O)(=O)c1ccc(cc1)N1C(=O)[C@H]2CC=CC[C@H]2C1=O,4.4,Ki (nM),NS(=O)(=O)c1ccc(N2C(=O)[C@H]3CC=CC[C@H]3C2=O)cc1,False,False,False
50767480,NS(=O)(=O)c1cccc(c1)-n1c(S)nc2ccc(F)cc2c1=O,4.4,Ki (nM),NS(=O)(=O)c1cccc(-n2c(S)nc3ccc(F)cc3c2=O)c1,False,False,False
50291375,NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)-n1cc(CCCCCl)nn1,4.5,Ki (nM),NS(=O)(=O)c1c(F)c(F)c(-n2cc(CCCCCl)nn2)c(F)c1F,False,False,False
50932859,CC(C)CN(CC(C)C)C([S-])=S,4.5,Ki (nM),CC(C)CN(CC(C)C)C(=S)S,False,False,True
51591015,NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1,4.5,Ki (nM),NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1,False,False,False
51286550,CC(C)(C)N1[S+]([O-])C(=CC1=O)c1ccccc1,4.5,Ki (nM),CC(C)(C)n1c(=O)cc(-c2ccccc2)[s+]1O,False,False,True
50964305,CC(=O)Nc1ccc(cc1)S(=O)(=O)Nc1ccc(cc1)C(=O)NCCc1ccc(cc1)S(N)(=O)=O,4.5,Ki (nM),CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCCc3ccc(S(N)(=O)=O)cc3)cc2)cc1,False,False,False
50932848,[S-]C(=S)NCCN1CCOCC1,4.5,Ki (nM),S=C(S)NCCN1CCOCC1,False,False,True
51117810,NS(=O)(=O)c1ccc(NC2=NC(=O)CS2)cc1,4.5,Ki (nM),NS(=O)(=O)c1ccc(NC2=NC(=O)CS2)cc1,False,False,False
51583801,C=C(C)[C@@H]1CC[C@]2(COS(N)(=O)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)NCC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,4.5,Ki (nM),C=C(C)[C@@H]1CC[C@]2(COS(N)(=O)=O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)NCC)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,False,False,False
50252085,OC(=O)c1ccc(cc1)N1C(=O)[C@H]2CC=CC[C@H]2C1=O,4.5,Ki (nM),O=C(O)c1ccc(N2C(=O)[C@H]3CC=CC[C@H]3C2=O)cc1,False,False,False
50401583,COc1ccc(cc1S(N)(=O)=O)-c1cnc(o1)C(=O)N1CCOCC1,4.5,Ki (nM),COc1ccc(-c2cnc(C(=O)N3CCOCC3)o2)cc1S(N)(=O)=O,False,False,False
51590988,NS(=O)(=O)c1ccc(CCN(Cc2cccc(OCC(=O)O)c2)S(=O)(=O)c2cccnc2)cc1,4.5,Ki (nM),NS(=O)(=O)c1ccc(CCN(Cc2cccc(OCC(=O)O)c2)S(=O)(=O)c2cccnc2)cc1,False,False,False
51243180,NS(=O)(=O)c1nnc(NC(=O)C(\Cc2ccccc2)=N\OC2CCCCO2)s1,4.6,Ki (nM),NS(=O)(=O)c1nnc(NC(=O)/C(Cc2ccccc2)=N/OC2CCCCO2)s1,False,False,False
50252189,NS(=O)(=O)c1ccc(CN2C(=O)c3cccc4cccc(C2=O)c34)cc1,4.6,Ki (nM),NS(=O)(=O)c1ccc(CN2C(=O)c3cccc4cccc(c34)C2=O)cc1,False,False,False
50305884,NS(=O)(=O)c1ccc(CCNC(=S)Nc2ccc(cc2)S(=O)(=O)NCc2ccc(cc2)S(N)(=O)=O)cc1,4.6,Ki (nM),NS(=O)(=O)c1ccc(CCNC(=S)Nc2ccc(S(=O)(=O)NCc3ccc(S(N)(=O)=O)cc3)cc2)cc1,False,False,False
50582103,Cn1nnnc1Sc1ccncc1S(N)(=O)=O,4.6,Ki (nM),Cn1nnnc1Sc1ccncc1S(N)(=O)=O,False,False,False
50795117,NS(=O)(=O)c1ccc(NC(=[Se])NC(=O)c2ccccc2)cc1,4.6,Ki (nM),NS(=O)(=O)c1ccc(NC(=[Se])NC(=O)c2ccccc2)cc1,False,False,False
50746525,On1c(=O)[nH]c2ccc(cc2c1=O)[N+]([O-])=O,4.6,Ki (nM),O=c1[nH]c2ccc([N+](=O)[O-])cc2c(=O)n1O,False,False,False
50823116,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(NC(=S)NCCCN3CCN(CCCNC(=S)Nc4ccc(cc4)S(=O)(=O)Nc4nnc(s4)S(N)(=O)=O)CC3)cc2)s1,4.6,Ki (nM),NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(NC(=S)NCCCN3CCN(CCCNC(=S)Nc4ccc(S(=O)(=O)Nc5nnc(S(N)(=O)=O)s5)cc4)CC3)cc2)s1,False,False,False
50932900,CCC(C)NC([S-])=S,4.6,Ki (nM),CCC(C)NC(=S)S,False,False,True
51241261,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCC(O)(CC1)c1ccc(Br)cc1,4.7,Ki (nM),NS(=O)(=O)c1ccc(C(=O)N2CCC(O)(c3ccc(Br)cc3)CC2)cc1,False,False,False
51544788,NS(=O)(=O)c1ccc(cc1)C(=O)N1CCC(CC1)C(=O)NCc1ccccc1,4.7,Ki (nM),NS(=O)(=O)c1ccc(C(=O)N2CCC(C(=O)NCc3ccccc3)CC2)cc1,False,False,False
51513685,NS(=O)(=O)c1ccc(CCNC(=O)C[Se]c2ccccc2)cc1,4.7,Ki (nM),NS(=O)(=O)c1ccc(CCNC(=O)C[Se]c2ccccc2)cc1,False,False,False
51204517,Cc1cc(c(SCc2ccccc2)cc1Cl)S(=O)(=O)NC(=N)Nc1nnc(s1)S(N)(=O)=O,4.7,Ki (nM),Cc1cc(S(=O)(=O)NC(=N)Nc2nnc(S(N)(=O)=O)s2)c(SCc2ccccc2)cc1Cl,False,False,False
51591006,NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2ccccc2)cc1,4.7,Ki (nM),NS(=O)(=O)c1ccc(CCN(Cc2cccc(NCC(=O)O)c2)S(=O)(=O)c2ccccc2)cc1,False,False,False
50291374,NS(=O)(=O)c1c(F)c(F)c(c(F)c1F)-n1cc(CCCCl)nn1,4.7,Ki (nM),NS(=O)(=O)c1c(F)c(F)c(-n2cc(CCCCl)nn2)c(F)c1F,False,False,False
51197049,NS(=O)(=O)c1ccc(cc1)N1C(SCC1=O)c1ccc(Cl)cc1,4.7,Ki (nM),NS(=O)(=O)c1ccc(N2C(=O)CSC2c2ccc(Cl)cc2)cc1,False,False,False
51276248,Cc1ccc(CN2C(=O)\C(=N/c3ccc(NC(=O)Nc4ccc(cc4)S(N)(=O)=O)cc3)c3ccccc23)cc1,4.7,Ki (nM),Cc1ccc(CN2C(=O)/C(=N\c3ccc(NC(=O)Nc4ccc(S(N)(=O)=O)cc4)cc3)c3ccccc32)cc1,False,False,False
51197530,NS(=O)(=O)c1ccc(NC(=O)Cc2ccc(F)cc2)cc1,4.7,Ki (nM),NS(=O)(=O)c1ccc(NC(=O)Cc2ccc(F)cc2)cc1,False,False,False
50105476,Cc1ccc(cc1)-c1nnc(o1)-c1cc(c(Cl)cc1Cl)S(N)(=O)=O,4.7,Ki (nM),Cc1ccc(-c2nnc(-c3cc(S(N)(=O)=O)c(Cl)cc3Cl)o2)cc1,False,False,False
50918321,Nc1nc(N)c2nc(CNCCc3ccc(cc3)S(N)(=O)=O)cnc2n1,4.7,Ki (nM),Nc1nc(N)c2nc(CNCCc3ccc(S(N)(=O)=O)cc3)cnc2n1,False,False,False
