"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL461727";"AMYGDALIN";"None";"457.43";"2";"-3.11";"AMYGDALIN(D)";"N#C[C@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1";"Ki";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909203";"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"Not Active";""
"CHEMBL268868";"DAPH";"None";"329.36";"0";"4.06";"3";"O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21";"Ki";"'='";"160.0";"nM";"6.80";"";"";"UO_0000065";"20.63";"0.37";"2.74";"9.68";"0";"CHEMBL642000";"Competitive inhibition of ATP binding to EGF-R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127678";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"0.16"
"CHEMBL248392";"";"None";"458.56";"0";"4.18";"29";"COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OCCCN1CCOCC1";"Ki";"'='";"8.4";"nM";"8.08";"";"";"UO_0000065";"17.61";"0.32";"3.90";"10.14";"0";"CHEMBL923921";"Inhibition of human recombinant EGFR by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1140464";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"8.4"
"CHEMBL3352835";"";"None";"473.36";"0";"4.79";"3";"COC1CCN(c2nccc(Nc3cc(NC(=O)c4c(Cl)cccc4Cl)ccn3)n2)CC1";"Ki";"'='";"743.0";"nM";"6.13";"";"";"UO_0000065";"12.95";"0.26";"1.34";"6.64";"0";"CHEMBL3375801";"Inhibition of wild-type EGFR (unknown origin) by high-throughput biochemical screening";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351701";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"743.0"
"CHEMBL3354184";"";"None";"459.34";"0";"4.14";"2";"O=C(Nc1ccnc(Nc2ccnc(N3CCC(O)CC3)n2)c1)c1c(Cl)cccc1Cl";"Ki";"'='";"76.0";"nM";"7.12";"";"";"UO_0000065";"15.50";"0.31";"2.98";"6.89";"0";"CHEMBL3375800";"Inhibition of EGFR T790M/del746 to 750 mutant (unknown origin) by high-throughput biochemical screening";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"UNDEFINED MUTATION";"CHEMBL203";"Epidermal growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351701";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"76.0"
"CHEMBL553";"ERLOTINIB";"4.0";"393.44";"0";"3.41";"Erlotinib";"C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1";"Ki";"'='";"0.1";"nM";"10.00";"";"";"UO_0000065";"25.42";"0.47";"6.59";"13.38";"0";"CHEMBL3375801";"Inhibition of wild-type EGFR (unknown origin) by high-throughput biochemical screening";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3351701";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"0.1"
"CHEMBL1544";"LIOTHYRONINE";"4.0";"650.98";"1";"3.95";"3,3',5-TRIIODO-L-THYRONINE";"N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O";"Ki";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909203";"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"Not Active";""
"CHEMBL1200600";"FLUOROMETHOLONE";"4.0";"376.47";"0";"2.92";"FLUOROMETHOLONE";"CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C";"Ki";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909203";"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"Not Active";""
"CHEMBL1480987";"CYCLANDELATE";"2.0";"276.38";"0";"3.48";"CYCLANDELATE";"CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1";"Ki";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909203";"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"Not Active";""
"CHEMBL1077";"BROMFENAC";"4.0";"334.17";"0";"2.89";"BROMFENAC";"Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1";"Ki";"";"";"";"";"";"Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured";"";"";"";"";"";"0";"CHEMBL1909203";"DRUGMATRIX: Protein Tyrosine Kinase, EGF Receptor enzyme inhibition (substrate: Poly(Glu:Tyr))";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Insect cells";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"None";"";"";"Not Active";""
