BindingDB_ID,smiles,value,standard_type,CuratedSmiles,IsSalt,FailedSanit
50506937,C[N+]1(CCC(=O)Nc2ccc-3c(c2)C(=O)c2cccc4ccnc-3c24)CCCCC1,0.31,Ki (nM),C[N+]1(CCC(=O)Nc2ccc3c(c2)C(=O)c2cccc4ccnc-3c24)CCCCC1,False,False
50949139,CN(CCC(=O)N1CCN(CCNc2c3CCCCc3nc3ccccc23)CC1)C1CCCCC1,0.318,Ki (nM),CN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1,False,False
50991498,CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)c1ccccc1,0.35,Ki (nM),CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,False,False
50949147,CN(CCC(=O)N1CCN(CCNc2c3CCCCc3nc3ccccc23)CC1)C1CCCCC1,0.38,Ki (nM),CN(CCC(=O)N1CCN(CCNc2c3c(nc4ccccc24)CCCC3)CC1)C1CCCCC1,False,False
50002014,FC(F)(F)C(=O)c1cccc(c1)C(F)(F)F,0.39,Ki (nM),O=C(c1cccc(C(F)(F)F)c1)C(F)(F)F,False,False
50002015,CCc1cccc(c1)C(=O)C(F)(F)F,0.39,Ki (nM),CCc1cccc(C(=O)C(F)(F)F)c1,False,False
51500729,COc1cc2CC(F)(CC3CCN(Cc4cccc(F)c4)CC3)S(=O)(=O)c2cc1OC,0.4,Ki (nM),COc1cc2c(cc1OC)S(=O)(=O)C(F)(CC1CCN(Cc3cccc(F)c3)CC1)C2,False,False
50871680,Nc1ccc2c(c1)c(-c1ccccc1)n(CCCCCCc1cnnn1CCNc1c3CCCCc3nc3ccccc13)c1cc(=[NH2+])ccc21,0.41,Ki (nM),N=c1ccc2c3ccc(N)cc3c(-c3ccccc3)n(CCCCCCc3cnnn3CCNc3c4c(nc5ccccc35)CCCC4)c-2c1,False,False
50489455,COc1cccc2CC(CCc12)NS(=O)(=O)N(C)C,0.45,Ki (nM),COc1cccc2c1CCC(NS(=O)(=O)N(C)C)C2,False,False
51257763,CCOc1ccc(Cc2nc3cc(ccc3n2CCCCCCNc2c3CCCCc3nc3ccccc23)C(=O)N(CC)CC)cc1,89.0,Ki (nM),CCOc1ccc(Cc2nc3cc(C(=O)N(CC)CC)ccc3n2CCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,False,False
50919601,CC(C)(C)c1cc[n+](CCCCCCCC[n+]2ccc(cc2)C(C)(C)C)cc1,90.0,Ki (nM),CC(C)(C)c1cc[n+](CCCCCCCC[n+]2ccc(C(C)(C)C)cc2)cc1,False,False
50713131,CC(=O)O[C@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2CC[C@@H]2[C@H]4[C@@H](CC[C@@]4(CC[C@@]32C)C(=O)OCc2ccccc2)C(C)=O)C1(C)C,90.0,Ki (nM),CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@H]5[C@H](C(C)=O)CC[C@]5(C(=O)OCc5ccccc5)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,False,False
50286987,COc1cc2cc(C(=O)NCCCCCCCNc3c4CCCCc4nc4ccccc34)c(=O)oc2cc1OC,91.0,Ki (nM),COc1cc2cc(C(=O)NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c(=O)oc2cc1OC,False,False
51336044,COc1cc2cc(NC(=O)[C@H]3CCC[C@H](C3)NCc3ccccc3)c(=O)oc2cc1OC,93.0,Ki (nM),COc1cc2cc(NC(=O)[C@H]3CCC[C@@H](NCc4ccccc4)C3)c(=O)oc2cc1OC,False,False
51336045,COc1cc2cc(NC(=O)[C@H]3CCC[C@H](C3)NCc3ccccc3)c(=O)oc2cc1OC,93.4,Ki (nM),COc1cc2cc(NC(=O)[C@H]3CCC[C@@H](NCc4ccccc4)C3)c(=O)oc2cc1OC,False,False
51188743,O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc2OCCCOc2c1,95.0,Ki (nM),O=C(NC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCCCO2,False,False
51188752,COc1cc2C\C(=C/c3ccc(CN4CCCCC4)cc3)C(=O)c2cc1OC,95.0,Ki (nM),COc1cc2c(cc1OC)C(=O)/C(=C/c1ccc(CN3CCCCC3)cc1)C2,False,False
50351249,CN(Cc1ccccc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1,100.0,Ki (nM),CN(Cc1ccccc1)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1,False,False
17524,C(CCCSc1c2CCCCc2nc2ccccc12)CCNc1c2CCCCc2nc2ccccc12,100.0,Ki (nM),c1ccc2c(NCCCCCCSc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,False,False
51506183,CCCCCCCNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1,100.0,Ki (nM),CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,False,False
51042067,Cc1ccc(cc1)[C@@H]1CC(N=N1)c1c2ccccc2cc2ccccc12,,Ki (nM),Cc1ccc([C@@H]2CC(c3c4ccccc4cc4ccccc34)N=N2)cc1,False,False
50919602,CC(C)(C)c1cc[n+](\C=C2\CC3=C\C(CC=C3C=C2)=C\[n+]2ccc(cc2)C(C)(C)C)cc1,100.0,Ki (nM),CC(C)(C)c1cc[n+](/C=C2\C=CC3=CC/C(=C\[n+]4ccc(C(C)(C)C)cc4)C=C3C2)cc1,False,False
51322853,FC(F)(F)c1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1,100.0,Ki (nM),FC(F)(F)c1ccc(CNC2CCN(Cc3ccccc3)CC2)cc1,False,False
51261731,Oc1ccc(CCOCCCCCNc2c3CCCCc3nc3ccccc23)cc1,100.0,Ki (nM),Oc1ccc(CCOCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,False,False
51042068,[O-][N+](=O)c1ccc(cc1)[C@@H]1CC(N=N1)c1c2ccccc2cc2ccccc12,,Ki (nM),O=[N+]([O-])c1ccc([C@@H]2CC(c3c4ccccc4cc4ccccc34)N=N2)cc1,False,False
51042069,Oc1ccc(cc1)[C@@H]1CC(N=N1)c1c2ccccc2cc2ccccc12,,Ki (nM),Oc1ccc([C@@H]2CC(c3c4ccccc4cc4ccccc34)N=N2)cc1,False,False
50949134,Nc1c2CCCCc2nc2ccccc12,101.0,Ki (nM),Nc1c2c(nc3ccccc13)CCCC2,False,False
50287106,Nc1c2CCCCc2nc2ccccc12,101.0,Ki (nM),Nc1c2c(nc3ccccc13)CCCC2,False,False
50991027,COc1ccc(Nc2nc(Cl)nc(n2)N2CCN(CC2)c2cc(C)nc3ncnn23)cc1,102.0,Ki (nM),COc1ccc(Nc2nc(Cl)nc(N3CCN(c4cc(C)nc5ncnn45)CC3)n2)cc1,False,False
50225822,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,104.0,Ki (nM),COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,False,False
50828045,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,104.0,Ki (nM),COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,False,False
50289509,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,104.0,Ki (nM),COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,False,False
51188760,COc1cc2CC(Oc3ccc(cc3)C(C)N3CCCCC3)C(=O)c2cc1OC,106.0,Ki (nM),COc1cc2c(cc1OC)C(=O)C(Oc1ccc(C(C)N3CCCCC3)cc1)C2,False,False
50873550,CC1(C)CC(=O)C2C(c3ccc(F)cc3)c3c(N)c4CCCCc4nc3N=C2C1,106.0,Ki (nM),CC1(C)CC(=O)C2C(=Nc3nc4c(c(N)c3C2c2ccc(F)cc2)CCCC4)C1,False,False
51261679,C(CCNc1c2CCCCc2nc2ccccc12)CCOCCc1ccc(OCc2ccccc2)cc1,110.0,Ki (nM),c1ccc(COc2ccc(CCOCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2)cc1,False,False
51261642,Oc1ccc(CCNc2c3CCCCc3nc3ccccc23)cc1,110.0,Ki (nM),Oc1ccc(CCNc2c3c(nc4ccccc24)CCCC3)cc1,False,False
50526843,COc1cc2nc(NC(=O)CN3CCN(CCN(C)C)CC3)sc2cc1OC,110.0,Ki (nM),COc1cc2nc(NC(=O)CN3CCN(CCN(C)C)CC3)sc2cc1OC,False,False
50506936,C[N+]1(CCCNC(=O)c2cnc3C(=O)c4ccccc4-c4cccc2c34)CCCCC1,110.0,Ki (nM),C[N+]1(CCCNC(=O)c2cnc3c4c(cccc24)-c2ccccc2C3=O)CCCCC1,False,False
51261667,C(CCNc1c2CCCCc2nc2ccccc12)CCOCCc1ccc(OCc2ccccc2)cc1,110.0,Ki (nM),c1ccc(COc2ccc(CCOCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2)cc1,False,False
51475822,Nc1c2CCCCc2nc2ccccc12,110.0,Ki (nM),Nc1c2c(nc3ccccc13)CCCC2,False,False
51188718,COc1cc2CC(Oc3cccc(c3)C(C)N3CCOCC3)C(=O)c2cc1OC,118.0,Ki (nM),COc1cc2c(cc1OC)C(=O)C(Oc1cccc(C(C)N3CCOCC3)c1)C2,False,False
51261725,Oc1ccc(CNCCCCCCNc2c3CCCCc3nc3ccccc23)cc1O,120.0,Ki (nM),Oc1ccc(CNCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1O,False,False
51261677,COc1ccc(CNCCCCCNc2c3CCCCc3nc3ccccc23)cc1OC,120.0,Ki (nM),COc1ccc(CNCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1OC,False,False
17523,Clc1cc(Cl)c2c(SCCCCCCNc3c4CCCCc4nc4ccccc34)c3CCCCc3nc2c1,120.0,Ki (nM),Clc1cc(Cl)c2c(SCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,False,False
51428871,C(CC1CCN(Cc2ccccc2)CC1)Nc1cc2CCCCc3ccccc3-c2nn1,120.0,Ki (nM),c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCCC4)CC2)cc1,False,False
51506318,CC(C)(C)OC(=O)Nc1ccc(O)c(c1)C(=O)NCCCN1CCCCC1,120.0,Ki (nM),CC(C)(C)OC(=O)Nc1ccc(O)c(C(=O)NCCCN2CCCCC2)c1,False,False
51245787,S=C(NCc1ccccc1)NNc1c2CCCCc2nc2ccccc12,121.0,Ki (nM),S=C(NCc1ccccc1)NNc1c2c(nc3ccccc13)CCCC2,False,False
50778312,COc1cc2CC(C3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC,122.0,Ki (nM),COc1cc2c(cc1OC)C(=O)C(C1CCN(Cc3ccccc3)CC1)C2,False,False
51526341,O=C1CC2CCc3ccsc3C2=NN1CCN1CCN(Cc2ccccc2)CC1,123.0,Ki (nM),O=C1CC2CCc3ccsc3C2=NN1CCN1CCN(Cc2ccccc2)CC1,False,False
50961489,O=C(NCCc1c[nH]c2ccccc12)c1ccc(OCCCC[n+]2cccc3ccccc23)cc1,124.0,Ki (nM),O=C(NCCc1c[nH]c2ccccc12)c1ccc(OCCCC[n+]2cccc3ccccc32)cc1,False,False
51188753,COc1cc2C\C(=C/c3cccc(CN4CCCC4)c3)C(=O)c2cc1OC,127.0,Ki (nM),COc1cc2c(cc1OC)C(=O)/C(=C/c1cccc(CN3CCCC3)c1)C2,False,False
