BindingDB_ID,smiles,value,standard_type
51555681,[H][C@@]12Cc3ccccc3-c3c(OC)c(OC)cc(CCN1C(=O)c1cc[n+](Cc4ccccc4Cl)cc1)c23,220.0,Ki (nM)
50735852,CC1=C2C3Cc4[nH]c(=O)ccc4C2(CC(C)=C3)NC1,220.0,Ki (nM)
51555769,NS(=O)(=O)c1cccc(NC(=S)N\N=C2/C(=O)N(Cc3ccccc3)c3ccc(cc23)[N+]([O-])=O)c1,220.0,Ki (nM)
50287099,Nc1c2CCCCc2nc2ccccc12,225.0,Ki (nM)
50949142,Nc1c2CCCCc2nc2ccccc12,225.0,Ki (nM)
51188823,COc1cc2CC(Oc3ccc(cc3)C(C)N3CCN(C)CC3)C(=O)c2cc1OC,228.0,Ki (nM)
183477,c1ccc2c(c1)c(c3c(n2)CCCC3)N,230.0,Ki (nM)
335097,COc1ccc(CN2CCCCC2COc2ccc(cn2)C(=O)\C=N/O)cc1OC,233.0,Ki (nM)
51188709,CCN(C)Cc1cccc(\C=C2/Cc3cc(OC)c(OC)cc3C2=O)c1,236.0,Ki (nM)
51188819,CCN(CC)Cc1cccc(\C=C2/Cc3cc(OC)c(OC)cc3C2=O)c1,237.0,Ki (nM)
51590370,O=C(CNS(=O)(=O)c1ccccc1C(F)(F)F)Nc1ccc2c(=O)n3c(nc2c1)CCC3,240.0,Ki (nM)
51188846,FC(F)(F)Oc1ccc(NC(=O)N2CCCN(CCc3ccccc3)CC2)cc1,241.0,Ki (nM)
51578051,COc1cc2ncnc(N3CCN(Cc4ccccc4)CC3)c2cc1OC,246.0,Ki (nM)
50076513,CC(=NNC(=O)Nc1ccncc1)c1ccc(O)cc1,246.0,Ki (nM)
50352547,COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24,250.0,Ki (nM)
50526838,COc1cc2nc(NC(=O)CN3CCN(CCCN(C)C)CC3)sc2cc1OC,250.0,Ki (nM)
50811185,C(CCCCSc1c2CCCCc2nc2ccccc12)CCCNc1c2CCCCc2nc2ccccc12,250.0,Ki (nM)
50294855,CCCCNC(=O)OCCCCCOC(=O)NCCCC,250.0,Ki (nM)
248234,CC[N+](C)(C)c1cccc(c1)O,250.0,Ki (nM)
50099526,C(c1ccccc1)[n+]1cc2ccccc2c2ccccc12,250.0,Ki (nM)
15310,c1ccc2c(c1)c(c3c(n2)CCCC3)NCCCCCCCCSc4c5ccccc5nc6c4CCCC6,250.0,Ki (nM)
51414128,Cc1ccc(cc1)S(=O)(=O)SCc1ccc(cc1)[N+]([O-])=O,251.0,Ki (nM)
51245755,S=C(NCc1ccccc1)NNc1c2CCCCc2nc2ccccc12,253.0,Ki (nM)
51188704,COc1cc2CC(Oc3ccc(CN4CCCC4)cc3)C(=O)c2cc1OC,257.0,Ki (nM)
50986003,Clc1cc(NC(=O)OCCCCCCNCc2ccccc2)cc(Cl)n1,259.0,Ki (nM)
50721380,CCN(CC)CCCNc1ccc2C(=O)c3cccc4ccnc(-c2c1)c34,260.0,Ki (nM)
51579974,COc1cc2cc(C(=O)NCCC3CCN(Cc4ccccc4)CC3)[nH]c2cc1OC,260.0,Ki (nM)
50502633,COc1ccc2C\C(=C/C3CCN(Cc4ccccc4)CC3)C(=O)c2c1,260.0,Ki (nM)
51188747,OC(COc1ccc(cc1)[N+]([O-])=O)CN1CCCN(CC1)c1nc2ccc(Cl)cc2s1,263.0,Ki (nM)
51188721,COc1cc2CC(Oc3cccc(CN4CCCCC4)c3)C(=O)c2cc1OC,266.0,Ki (nM)
50327689,CCOc1ccc2C(=O)C(COc2c1)=Cc1ccc(OCCN2CCCCC2)cc1,270.0,Ki (nM)
51555679,[H][C@@]12Cc3ccccc3-c3c(OC)c(OC)cc(CCN1C(=O)c1cc[n+](Cc4ccc(F)cc4)cc1)c23,270.0,Ki (nM)
51054064,Oc1cccc2C(=O)c3cc(C[n+]4ccccc4)cc(O)c3C(=O)c12,279.0,Ki (nM)
50431866,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCNc1c2CCCCc2nc2ccccc12,280.0,Ki (nM)
50099527,C(C[n+]1cc2ccccc2c2ccccc12)c1ccccc1,280.0,Ki (nM)
51530503,Nc1c2CCCCc2nc2ccccc12,283.0,Ki (nM)
50986027,COc1ccccc1CNCCCCCOC(=O)Nc1cc(Cl)nc(Cl)c1,288.0,Ki (nM)
50557651,COc1ccc2cc3-c4cc5OCOc5cc4CC[n+]3cc2c1OC,289.0,Ki (nM)
17521,Clc1cc(Cl)c2c(SCCCCCCCNc3c4CCCCc4nc4ccccc34)c3CCCCc3nc2c1,290.0,Ki (nM)
51557822,CCOP(=O)(OCC)C(Nc1ccc(cc1)C(O)=O)c1ccc(OCc2nc3ccccc3c(=O)n2-c2ccc(F)cc2)c(OC)c1,292.0,Ki (nM)
51557821,CCOP(=O)(OCC)C(Nc1ccc(cc1)C(O)=O)c1ccc(OCc2nc3ccccc3c(=O)n2-c2ccc(F)cc2)c(OC)c1,297.0,Ki (nM)
50294845,CCCCNC(=O)OCCCCCCCCCCCCO,300.0,Ki (nM)
50592215,COc1ccc2CN(C)CC[C@@]34C=C[C@H](O)C[C@@H]3Oc1c24,300.0,Ki (nM)
51496262,CC1(C)Oc2ccc(cc2O1)C(\Cn1ccnc1)=N\OC(=O)c1ccc2ccccc2c1,308.0,Ki (nM)
248235,C[n+]1c2ccccc2cc2ccccc12,310.0,Ki (nM)
51468483,C(CCNCc1ccccc1)CCNc1ncccn1,312.0,Ki (nM)
