smiles,standard_type,value,units,bindingdb_id,data_validity_comment,activity_comment,warning_flag
COC1(C)CCC(=C(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCC(C)(O)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)C1)c1ccc(Cl)cc1,Ki,<0.001,nM,1180203,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(NC[C@H]4CC[C@](C)(O)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.001,nM,1373102,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(NCC4CCC(C)(O)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.001,nM,1180201,,,False
COC1(C)CCC(=C(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC[C@H]4CC[C@@](C)(O)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)C1)c1ccc(Cl)cc1,Ki,<0.001,nM,1373103,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(NC[C@H]4CC[C@@](C)(O)CC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.001,nM,1373098,,,False
COC1(C)CCC(=C(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)C1)c1ccc(Cl)cc1,Ki,<0.001,nM,1180205,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NC(=O)N4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki,<0.001,nM,1373099,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4(F)CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cccc4[nH]cnc34)c2)=C(C1)c1ccc(Cl)cc1 |c:58|,Ki, 0.002,nM,325111,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCN(CC4)C(CF)CF)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.002,nM,1372860,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CN(CC(F)F)CCO4)c(c3)[N+]([O-])=O)c(Oc3cccc4[nH]cnc34)c2)=C(C1)c1ccc(Cl)cc1 |c:61|,Ki, 0.002,nM,325118,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCN(CC4)C(CF)CF)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.002,nM,704721,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCN(CC4)C(CF)CF)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1,Ki, 0.002,nM,1180089,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(OCC4CCN(CC4)C(CF)CF)c(c3)[N+]([O-])=O)c(Oc3cnc4[nH]ccc4c3)c2)=C(C1)c1ccc(Cl)cc1 |c:62|,Ki, 0.002,nM,339678,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3cnc(OCC4CCOCC4)c(Cl)c3)c(Oc3cccc4[nH]ncc34)c2)=C(C1)c1ccc(Cl)cc1 |c:55|,Ki, 0.002,nM,325130,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cccc4[nH]cnc34)c2)=C(C1)c1ccc(Cl)cc1 |c:57|,Ki, 0.003,nM,325106,,,False
CN(C)CC(=O)N1CCO[C@H](COc2ncc(cc2Cl)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cccc3[nH]ncc23)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)C1 |t:51|,Ki, 0.003,nM,325128,,,False
CN(C)CCOc1ccc(c(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CCOCC4)c(c3)[N+]([O-])=O)c(Oc3cccc4[nH]ccc34)c2)c1)-c1ccc(Cl)cc1,Ki, 0.003,nM,324841,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(NCC4CN(CCO4)C4CC4)c(c3)[N+]([O-])=O)c(Oc3cccc4[nH]ncc34)c2)=C(C1)c1ccc(Cl)cc1 |c:61|,Ki, 0.003,nM,325114,,,False
CC1(C)CCC(CN2CCN(CC2)c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@@H]4CCN(CC#N)C4)c(c3)[N+]([O-])=O)c(Oc3cccc4[nH]cnc34)c2)=C(C1)c1ccc(Cl)cc1 |c:58|,Ki, 0.003,nM,325131,,,False
COCCOCCN1CCO[C@H](CNc2ccc(cc2[N+]([O-])=O)S(=O)(=O)NC(=O)c2ccc(cc2Oc2cccc3[nH]cnc23)N2CCN(CC3=C(CC(C)(C)CC3)c3ccc(Cl)cc3)CC2)C1 |t:54|,Ki, 0.004,nM,325158,,,False
