BindingDB_ID,smiles,value,standard_type,pIC50,CuratedSmiles,IsSalt,FailedSanit
16667,C[C@]12CCC3C(CCC4=CCCC[C@]34C)C1CCC2=O,60.0,IC50(nM),7.221848749616356,C[C@]12CCCC=C1CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
16668,C[C@]12CCC3C(CCC4=CCCC[C@]34CO)C1CCC2=O,49.0,IC50(nM),7.309803919971486,C[C@]12CCC3C(CCC4=CCCC[C@@]43CO)C1CCC2=O,False,False
16669,C[C@]12CCC3C(CC=C4CCCC[C@]34C)C1CCC2=O,660.0,IC50(nM),6.180456064458132,C[C@]12CCCCC1=CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
16670,C[C@]12CCC3C(CC=C4CCCC[C@]34CO)C1CCC2=O,6900.0,IC50(nM),5.161150909262744,C[C@]12CCC3C(CC=C4CCCC[C@@]43CO)C1CCC2=O,False,False
16739,CSC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC21,42.0,IC50(nM),7.376750709602099,CSC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
16740,CSCC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CC=C21,12.0,IC50(nM),7.920818753952375,CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,False,False
16741,CSCC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CCC21,22.0,IC50(nM),7.657577319177793,CSCC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
16742,CCSCC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CC=C21,870.0,IC50(nM),6.060480747381382,CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,False,False
16743,CSCCC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CC=C21,,IC50(nM),,CSCCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,False,False
16744,CN(C)CC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CC=C21,,IC50(nM),,CN(C)CC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,False,False
16745,COCC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CC=C21,10000.0,IC50(nM),5.0,COCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,False,False
16746,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@]34CCI)C1CCC2=O,,IC50(nM),,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCI)C1CCC2=O,False,False
16759,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@]34CCSC=C)C1CCC2=O,50.0,IC50(nM),7.301029995663981,C=CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,False,False
16760,CSSCC[C@]12CCC(=O)C=C1CCC1C3CCC(=O)[C@@]3(C)CC=C21,,IC50(nM),,CSSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,False,False
16763,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@]34CCSC#C)C1CCC2=O,330.0,IC50(nM),6.481486060122113,C#CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,False,False
50754287,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O,,IC50(nM),,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,False,False
50763919,CSC1=C2CCC3C4CCC(=O)[C@@]4(C)CCC3[C@@]2(C)CCC1=O,4400.0,IC50(nM),5.356547323513812,CSC1=C2CCC3C(CC[C@]4(C)C(=O)CCC34)[C@@]2(C)CCC1=O,False,False
50763921,C[C@]12CC=C3C(CCC4C(=O)C(=O)CC[C@]34C)C1CCC2=O,350.0,IC50(nM),6.455931955649724,C[C@]12CCC(=O)C(=O)C1CCC1C2=CC[C@]2(C)C(=O)CCC12,False,False
50668527,C[C@]12CC=C3C(CCC4C(=S)C(=O)CC[C@]34C)C1CCC2=O,3800.0,IC50(nM),5.42021640338319,C[C@]12CCC(=O)C(=S)C1CCC1C2=CC[C@]2(C)C(=O)CCC12,False,False
50059220,C[C@]12CCC3C(CCC4=C(SCCl)C(=O)CC[C@]34C)C1CCC2=O,940.0,IC50(nM),6.026872146400302,C[C@]12CCC(=O)C(SCCl)=C1CCC1C2CC[C@]2(C)C(=O)CCC12,False,False
50763933,COCOC1=C2CCC3C4CCC(=O)[C@@]4(C)CCC3[C@@]2(C)CCC1=O,4400.0,IC50(nM),5.356547323513812,COCOC1=C2CCC3C(CC[C@]4(C)C(=O)CCC34)[C@@]2(C)CCC1=O,False,False
50033913,CC12CCC3C(CCC4=CCCCC34C)C1C[C@@H](Br)C2=O,4100.0,IC50(nM),5.3872161432802645,CC12CCC3C(CCC4=CCCCC43C)C1C[C@@H](Br)C2=O,False,False
