smiles,standard_type,mean,std,sem,n,n_outliers,BindingDB_IDs
CC(=O)Cc1nc2c3c(cn(-c4ccc(cc4)S(N)(=O)=O)c3ncn2n1)-c1ccc(Br)cc1,Ki (nM),3.1,0.0,0.0,1,0,50111300
CC(=O)N1C(=O)\C(=N/n2cnc3n(cc(-c4ccc(Br)cc4)c3c2=N)-c2ccc(cc2)S(N)(=O)=O)c2ccccc12,Ki (nM),3.1,0.0,0.0,1,0,50111336
CC(=O)N1CCN(C[C@@H]1Cc1ccccc1)C(=O)c1ccc(cc1)S(N)(=O)=O,Ki (nM),84.0,0.0,0.0,1,0,51099875
CC(=O)N1CCN(C[C@H]1Cc1ccccc1)C(=O)c1ccc(cc1)S(N)(=O)=O,Ki (nM),227.0,0.0,0.0,1,0,51099874
CC(=O)N1CCN([C@@H](Cc2ccccc2)C1)C(=O)c1ccc(cc1)S(N)(=O)=O,Ki (nM),170.0,0.0,0.0,1,0,51099882
CC(=O)N1CCN([C@H](Cc2ccccc2)C1)C(=O)c1ccc(cc1)S(N)(=O)=O,Ki (nM),198.0,0.0,0.0,1,0,51099823
CC(=O)N1N=C(CC1c1c(C)nn(c1Cl)-c1ccc(cc1)S(N)(=O)=O)c1ccc(Br)cc1,Ki (nM),67.0,0.0,0.0,1,0,50385604
CC(=O)N1N=C(CC1c1c(C)nn(c1Cl)-c1ccc(cc1)S(N)(=O)=O)c1ccc(C)cc1,Ki (nM),67.0,0.0,0.0,1,0,50385611
CC(=O)N1N=C(CC1c1c(C)nn(c1Cl)-c1ccc(cc1)S(N)(=O)=O)c1ccc(Cl)cc1,Ki (nM),31.0,0.0,0.0,1,0,50385606
CC(=O)N1N=C(CC1c1c(C)nn(c1Cl)-c1ccc(cc1)S(N)(=O)=O)c1ccc(F)cc1,Ki (nM),6.9,0.0,0.0,1,0,50385609
CC(=O)N1N=C(CC1c1c(C)nn(c1Cl)-c1ccc(cc1)S(N)(=O)=O)c1ccccc1,Ki (nM),63.0,0.0,0.0,1,0,50385612
CC(=O)N1N=C(CC1c1c(Cl)cccc1Cl)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),33.0,0.0,0.0,1,0,51262657
CC(=O)N1N=C(CC1c1c(Cl)cccc1Cl)c1cccc(OS(N)(=O)=O)c1,Ki (nM),64.0,0.0,0.0,1,0,51262664
CC(=O)N1N=C(CC1c1cc(Cl)ccc1Cl)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),20.5,5.5,3.8890872965260113,2,0,51262707;51530293
CC(=O)N1N=C(CC1c1cc(Cl)ccc1Cl)c1cccc(OS(N)(=O)=O)c1,Ki (nM),59.0,0.0,0.0,1,0,51262663
CC(=O)N1N=C(CC1c1ccc(C)cc1)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),7.1,0.0,0.0,1,0,51262652
CC(=O)N1N=C(CC1c1ccc(C)cc1)c1cccc(OS(N)(=O)=O)c1,Ki (nM),29.0,0.0,0.0,1,0,51262658
CC(=O)N1N=C(CC1c1ccc(Cl)cc1)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),6.9,0.0,0.0,1,0,51262727
CC(=O)N1N=C(CC1c1ccc(Cl)cc1)c1cccc(OS(N)(=O)=O)c1,Ki (nM),6.9,0.0,0.0,1,0,51262662
CC(=O)N1N=C(CC1c1ccc(Cl)cc1Cl)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),11.0,0.0,0.0,1,0,51262656
CC(=O)N1N=C(CC1c1ccc(Cl)cc1Cl)c1cccc(OS(N)(=O)=O)c1,Ki (nM),14.0,0.0,0.0,1,0,51262730
CC(=O)N1N=C(CC1c1ccc(F)cc1)c1ccc(OS(N)(=O)=O)cc1,Ki (nM),5.9,0.0,0.0,1,0,51262654
CC(=O)N1N=C(CC1c1ccc(F)cc1)c1cccc(OS(N)(=O)=O)c1,Ki (nM),8.4,0.0,0.0,1,0,51262660
CC(=O)N1N=C(CC1c1ccc(OS(N)(=O)=O)cc1)c1ccc(C)cc1,Ki (nM),22.0,0.0,0.0,1,0,51262666
CC(=O)N1N=C(CC1c1ccc(OS(N)(=O)=O)cc1)c1ccc(Cl)c(Cl)c1,Ki (nM),7.7,0.0,0.0,1,0,51262668
CC(=O)N1N=C(CC1c1ccc(OS(N)(=O)=O)cc1)c1ccc(Cl)cc1,Ki (nM),8.3,0.0,0.0,1,0,51262667
CC(=O)N1N=C(CC1c1ccc(OS(N)(=O)=O)cc1)c1ccc(Cl)cc1Cl,Ki (nM),50.0,0.0,0.0,1,0,51262732
